Calc. Date= 04-04-2023. Time= 17:32:29
============================== SRIM-2013.00 ==============================
 =====================================================================
 =                   Ion Energy vs Position File                     =
 =====================================================================
 =   AXIS DEFINITIONS: X=Depth. Y.Z= Lateral plane of target surface.=
 =   (If beam enters target at an angle. this tilt is in Y direction)=
 =   Shown are: Ion Number. Energy (keV). X. Y. Z Position           =
 ==================  CALCULATION   DATA  =============================
  Ion Data: Name. Mass.   Energy . Energy Interval
           Ca     040.00  800000keV    1000000eV
 =====================================================================
Ion       Energy     Depth (X)     Y           Z       Electronic   Energy Lost to
Number    (keV)    (Angstrom)  (Angstrom)  (Angstrom)  Stop.(eV/A)  Last Recoil(eV)
------- ----------- ---------- ----------- ----------- -----------  ---------------
0000001 6.0490E+05  1.3192E+09 -4.8469E+06 -3.0340E+06  1.6417E-01  7.8325E+00
0000001 6.0394E+05  1.3250E+09 -4.8895E+06 -3.0585E+06  1.6434E-01  1.7580E+01
0000001 6.0280E+05  1.3324E+09 -4.9428E+06 -3.0877E+06  1.6454E-01  6.7060E+00
0000001 6.0184E+05  1.3382E+09 -4.9863E+06 -3.1108E+06  1.6471E-01  5.7108E+00
0000001 6.0079E+05  1.3455E+09 -5.0421E+06 -3.1398E+06  1.6490E-01  1.3534E+01
0000001 5.9991E+05  1.3514E+09 -5.0869E+06 -3.1636E+06  1.6506E-01  6.5887E+00
0000001 5.9887E+05  1.3572E+09 -5.1347E+06 -3.1883E+06  1.6525E-01  4.3200E+00
0000001 5.9796E+05  1.3630E+09 -5.1821E+06 -3.2131E+06  1.6542E-01  2.9117E+00
0000001 5.9698E+05  1.3689E+09 -5.2309E+06 -3.2390E+06  1.6560E-01  5.2426E+01
0000001 5.9595E+05  1.3747E+09 -5.2808E+06 -3.2667E+06  1.6579E-01  5.0545E+01
0000001 5.9480E+05  1.3819E+09 -5.3418E+06 -3.3023E+06  1.6600E-01  8.8766E+00
0000001 5.9382E+05  1.3877E+09 -5.3896E+06 -3.3298E+06  1.6618E-01  4.1777E+00
0000001 5.9289E+05  1.3935E+09 -5.4373E+06 -3.3569E+06  1.6635E-01  9.1513E+00
0000001 5.9183E+05  1.3993E+09 -5.4853E+06 -3.3847E+06  1.6654E-01  6.4133E+00
0000001 5.9075E+05  1.4051E+09 -5.5329E+06 -3.4127E+06  1.6674E-01  4.5369E+00
0000001 5.8980E+05  1.4109E+09 -5.5795E+06 -3.4407E+06  1.6691E-01  4.4839E+00
0000001 5.8882E+05  1.4166E+09 -5.6263E+06 -3.4678E+06  1.6709E-01  4.6606E+00
0000001 5.8779E+05  1.4224E+09 -5.6737E+06 -3.4946E+06  1.6729E-01  4.2961E+00
0000001 5.8685E+05  1.4281E+09 -5.7220E+06 -3.5220E+06  1.6746E-01  4.5665E+00
0000001 5.8587E+05  1.4339E+09 -5.7709E+06 -3.5502E+06  1.6765E-01  5.5317E+01
0000001 5.8495E+05  1.4396E+09 -5.8184E+06 -3.5779E+06  1.6782E-01  3.2107E+00
0000001 5.8399E+05  1.4454E+09 -5.8651E+06 -3.6056E+06  1.6800E-01  2.1383E+01
0000001 5.8279E+05  1.4525E+09 -5.9221E+06 -3.6403E+06  1.6823E-01  2.9141E+01
0000001 5.8183E+05  1.4582E+09 -5.9676E+06 -3.6685E+06  1.6841E-01  7.0867E+01
0000001 5.8091E+05  1.4640E+09 -6.0144E+06 -3.6951E+06  1.6858E-01  6.8906E+00
0000001 5.7988E+05  1.4697E+09 -6.0602E+06 -3.7215E+06  1.6877E-01  4.7216E+00
0000001 5.7893E+05  1.4754E+09 -6.1048E+06 -3.7488E+06  1.6895E-01  2.4759E+02
0000001 5.7777E+05  1.4825E+09 -6.1589E+06 -3.7798E+06  1.6917E-01  6.5053E+00
0000001 5.7674E+05  1.4881E+09 -6.2021E+06 -3.8042E+06  1.6936E-01  2.8628E+01
0000001 5.7584E+05  1.4938E+09 -6.2448E+06 -3.8285E+06  1.6953E-01  7.0103E+00
0000001 5.7494E+05  1.4995E+09 -6.2867E+06 -3.8522E+06  1.6971E-01  2.4735E+01
0000001 5.7377E+05  1.5066E+09 -6.3405E+06 -3.8810E+06  1.6993E-01  4.1231E+00
0000001 5.7295E+05  1.5122E+09 -6.3825E+06 -3.9039E+06  1.7009E-01  4.7864E+00
0000001 5.7195E+05  1.5179E+09 -6.4246E+06 -3.9266E+06  1.7029E-01  1.0533E+01
0000001 5.7079E+05  1.5249E+09 -6.4773E+06 -3.9555E+06  1.7051E-01  1.6406E+02
0000001 5.6978E+05  1.5306E+09 -6.5210E+06 -3.9779E+06  1.7070E-01  2.2160E+01
